School Name,Location,Latitude,Longitude
Alto International School,"San Francisco / Bay, United States of America",37.7140291,-122.3077942
Amadeus International School Vienna,"Vienna, Austria",48.2083537,16.3725042
Ambrosoli International School,"Kampala, Uganda",0.3177137,32.5813539
American Academy For Girls,"Hawalli, Kuwait",29.3236609,48.1153148
American Academy School,"Doha, Qatar",25.2856329,51.5264162
American Academy School,"Limassol, Cyprus",34.6852901,33.0332657
American Academy for Girls,Kuwait,29.2733964,47.4979476
American Academy in Prague,"Prague, Czech Republic",50.0596288,14.4464593
American College Arcus Ltd.,Bulgaria,42.6073975,25.4856617
American College of Sofia,Bulgaria,42.6073975,25.4856617
American Community School of Abu Dhabi,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
"American Community School, Abu Dhabi",United Arab Emirates,24.0002488,53.9994829
American Community Schools of Athens,"Athens, Greece",37.9755648,23.7348324
American Community Schools of Athens,Greece,38.9953683,21.9877132
American Cooperative School,"La Paz, Bolivia",-16.4955455,-68.1336229
American Creativity Academy,Kuwait,29.2733964,47.4979476
American Embassy School,India,22.3511148,78.6677428
American German School,Kuwait,29.2733964,47.4979476
American Institute of Monterrey,"Monterrey, Mexico",25.6802019,-100.315258
American International Montessori School,"San Francisco / Bay, United States of America",37.7140291,-122.3077942
American International School,"Ho Chi Minh City, Vietnam",10.7755254,106.7021047
American International School,"Hong Kong, China",22.350627,114.1849161
American International School - Main Campus,"Cairo, Egypt",30.0443879,31.2357257
American International School - West Campus,"Cairo, Egypt",30.0443879,31.2357257
American International School Chennai,"Chennai, India",13.0836939,80.270186
American International School Dhaka,Bangladesh,24.4769288,90.2934413
"American International School Egypt, West","Sheikh Zayed City, Egypt",30.048347,30.9832235
American International School Lusaka,"Lusaka, Zambia",-15.4163395,28.2818414
American International School Riyadh,"Riyadh, Saudi Arabia",23.333333,45.333333
American International School Vienna,"Vienna, Austria",48.2083537,16.3725042
American International School Vietnam,"Ho Chi Minh City, Vietnam",10.7755254,106.7021047
American International School Vietnam (AISVN),Vietnam,15.9266657,107.9650855
American International School in Abu Dhabi,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
American International School in Cyprus,Cyprus,34.9174159,32.8899027
"American International School in Egypt, West Campus","Cairo, Egypt",30.0443879,31.2357257
American International School of Abuja,"Abuja, Nigeria",9.0643305,7.4892974
American International School of Bamako,"Bamako, Mali",12.6132655,-7.9847391
American International School of Bolivia,Bolivia,-17.0568696,-64.9912286
American International School of Brazzaville,"Brazzaville, Republic of the Congo",-4.2694407,15.2712256
American International School of Bucharest,"Bucharest, Romania",44.4361414,26.1027202
American International School of Cape Town,"Cape Town, South Africa",-33.9288301,18.4172197
American International School of Conakry,"Conakry, Guinea",9.5170602,-13.6998434
American International School of Costa Rica,"San Jose, Costa Rica",9.9327707,-84.0796144
American International School of Kingston,Jamaica,18.1850507,-77.3947693
American International School of Lagos,"Lagos, Nigeria",6.4550575,3.3941795
American International School of Lesotho,"Maseru, Lesotho",-29.310054,27.478222
American International School of Libreville,"Libreville, Gabon",0.4086518,9.4418849
American International School of Lusaka,Zambia,-14.5189121,27.5589884
American International School of Monrovia,"Monrovia, Liberia",6.328034,-10.797788
American International School of Mozambique,Mozambique,-19.302233,34.9144977
American International School of Nouakchott,"Nouakchott, Mauritania",18.0792379,-15.9780071
American International School of Vilnius,Lithuania,55.3500003,23.7499997
American International School of Vilnius,"Vilnius, Lithuania",54.6870458,25.2829111
American International School of Zagreb,Croatia,45.3658443,15.6575209
American Lyceum International School,"Muscat, Oman",23.6123628,58.5938134
American Pacific International School,"Phnom Penh, Cambodia",11.5730391,104.857807
American Paradigm Schools,"Philadelphia, United States of America",39.9527237,-75.1635262
American School Beverly Hills Cairo,"Cairo, Egypt",30.0443879,31.2357257
American School Foundation of Monterrey,"Monterrey, Mexico",25.6802019,-100.315258
American School Hongkong,Hong Kong,22.350627,114.1849161
American School Milan,Italy,42.6384261,12.674297
American School in London,"London, United Kingdom",51.5074456,-0.1277653
American School of Antananarivo,Madagascar,-18.9249604,46.4416422
American School of Asuncion,"Asuncion, Paraguay",-25.2800459,-57.6343814
American School of Bombay,India,22.3511148,78.6677428
American School of Brasilia,"Brasilia, Brazil",-10.3333333,-53.2
American School of Brasilia (EAB),Brazil,-10.3333333,-53.2
American School of Dubai,"Dubai, United Arab Emirates",25.0742823,55.1885387
American School of Guatemala,"San Jose, Guatemala",16.9817477,-89.9005479
American School of Madrid,"Madrid, Spain",40.416782,-3.703507
American School of Milan,"Milan, Italy",45.4641943,9.1896346
American School of Paris,"Paris, France",48.8534951,2.3483915
American School of Recife,"Recife, Brazil",-8.0584933,-34.8848193
American School of Santo Domingo,"Santo Domingo, Dominican Republic",18.4713858,-69.8918436
American School of Tangier,"Tangier, Morocco",35.7625681,-5.8295062
American School of Tegucigalpa,"Tegucigalpa, Honduras",14.1058135,-87.2047053
American School of The Hague,"Rotterdam / The Hagu, Netherlands",52.0996123,4.2976944
American School of Valencia,"Valencia, Spain",39.4697065,-0.3763353
American School of Warsaw,"Warsaw, Poland",52.2333742,21.0711489
American School of Yaounde,Cameroon,4.6125522,13.1535811
American Standard International School,Bangladesh,24.4769288,90.2934413
American United School,Kuwait,29.2733964,47.4979476
American Youth Academy,United States of America,39.7837304,-100.445882
American-British Academy,"MUSCAT, Oman",23.6123628,58.5938134
Amity International School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Amity International School Amsterdam,"Amsterdam, Netherlands",52.3730796,4.8924534
Amity Private School Sharjah,"Dubai, United Arab Emirates",25.0742823,55.1885387
Amity School Dubai,"Dubai, United Arab Emirates",25.0742823,55.1885387
Amjad International Academy,"Doha, Qatar",25.2856329,51.5264162
Amman Academy,"Amman, Jordan",31.9515694,35.9239625
Amman Baccalaureate School,"Amman, Jordan",31.9515694,35.9239625
Amstelland International School,"Amsterdam, Netherlands",52.3730796,4.8924534
Amsterdam International Community School,"Amsterdam, Netherlands",52.3730796,4.8924534
Anahuacalmecac International University Prep. HS,United States of America,39.7837304,-100.445882
Andersen International School,"Milan, Italy",45.4641943,9.1896346
Andino Cusco International School,Peru,-6.8699697,-75.0458515
Anfield School,"Hong Kong, China",22.350627,114.1849161
Anglican International School Jerusalem,Israel,30.8124247,34.8594762
Anglo American School,Costa Rica,10.2735633,-84.0739102
Anglo American School of Sofia,"Sofia, Bulgaria",42.6977028,23.3217359
Anglo-American School of Moscow,"Moscow, Russia",55.625578,37.6063916
Anglo-Chinese School,Singapore,1.357107,103.8194992
Annie Wright Schools,"Washington, United States of America",38.8950368,-77.0365427
Antofagasta International School,"Antofagasta, Chile",-23.6463741,-70.3980033
Antonine International School,Lebanon,33.8750629,35.843409
Antwerp International School,"Antwerp, Belgium",51.2211097,4.3997081
Aoba - Japan International School,"Tokyo, Japan",35.6768601,139.7638947
Aoba-Japan International School,"Tokyo, Japan",35.6768601,139.7638947
"Apeejay School International , South Delhi",India,22.3511148,78.6677428
Apple Green Private School,"Muscat, Oman",23.6123628,58.5938134
Aquinas College,"Ringwood, Australia",-37.8158726,145.2291113
Arab International Academy,"Doha, Qatar",25.2856329,51.5264162
Arab International Schools,"Jeddah, Saudi Arabia",26.2927219,50.0935638
Arab Unity School,"Dubai, United Arab Emirates",25.0742823,55.1885387
Arabian Pearl Gulf School,"Manama, Bahrain",26.2235041,50.5822436
Arcadia Academy,"Kotor, Montenegro",42.4249205,18.7713332
Arrowad International School,"Riyadh, Saudi Arabia",23.333333,45.333333
As Seeb International School,"Muscat, Oman",23.6123628,58.5938134
Asamiah International School,Jordan,31.1667049,36.941628
Ascot International School,"Bangkok, Thailand",13.7524938,100.4935089
Ashbury College,"Ontario, Canada",50.000678,-86.000977
Ashiya International School,"Kyoto / Osaka / Kobe, Japan",34.8038694,135.5156628
Ashton School,"Santo Domingo, Dominican Republic",18.4713858,-69.8918436
Asia American International Academy,"Taipei, Taiwan",25.0375198,121.5636796
Asia Pacific International School,"Kuala Lumpur, Malaysia",3.1526589,101.7022205
Asia Pacific International School,"Seoul, South Korea",37.5666791,126.9782914
Asia-Pacific Fredfort International School,"Phnom Penh, Cambodia",11.5730391,104.857807
Asian Hope International School,"Phnom Penh, Cambodia",11.5730391,104.857807
Asker International School,Norway,61.1529386,8.7876653
Aspen Heights British School,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Aspiration International Secondary School,"Kuala Lumpur, Malaysia",3.1526589,101.7022205
Aspire Academy School,"Doha, Qatar",25.2856329,51.5264162
Aspire International School,"Cairo, Egypt",30.0443879,31.2357257
Association International School,Ghana,8.0300284,-1.0800271
Associe International Kindergarten Bangkok,"Bangkok, Thailand",13.7524938,100.4935089
Astoria International School,"Lisbon, Portugal",38.7077507,-9.1365919
Athens College,"Athens, Greece",37.9755648,23.7348324
Aubrick School,"Sao Paulo, Brazil",-23.5506507,-46.6333824
Auburn House Montessori School,"Cape Town, South Africa",-33.9288301,18.4172197
Auckland Girls' Grammar School,"Auckland, New Zealand",-36.852095,174.7631803
Auckland Grammar School,"Auckland, New Zealand",-36.852095,174.7631803
Auckland International College,New Zealand,-41.5000831,172.8344077
Audentes International School,Estonia,58.7523778,25.3319078
Aurora International Preschool of the Arts,"Ho Chi Minh City, Vietnam",10.7755254,106.7021047
Aurora International School of the Arts,"Ho Chi Minh City, Vietnam",10.7755254,106.7021047
Australian Independent School - Indonesia,"Jakarta, Indonesia",-6.1754049,106.827168
Australian International Academy of Education,Australia,-24.7761086,134.755
"Australian International Academy, Kellyville",Australia,-24.7761086,134.755
"Australian International Academy, Sydney, Strathfield Campus",Australia,-24.7761086,134.755
Australian International School,"Dubai, United Arab Emirates",25.0742823,55.1885387
Australian International School,"Manila, Philippines",14.5904492,120.9803621
Australian International School,Singapore,1.357107,103.8194992
Australian International School Bangkok,"Bangkok, Thailand",13.7524938,100.4935089
Australian International School Phnom Penh,"Phnom Penh, Cambodia",11.5730391,104.857807
Australian International School Saigon,"Ho Chi Minh City, Vietnam",10.7755254,106.7021047
Austrian-Hungarian European School,"Budapest, Hungary",47.4978789,19.0402383
Avenor College,"Bucharest, Romania",44.4361414,26.1027202
Avenues New York,"New York City, United States of America",40.7127281,-74.0060152
Avenues Sao Paulo,"Sao Paulo, Brazil",-23.5506507,-46.6333824
Avenues Shenzhen,"Shenzhen, China",22.5445741,114.0545429
Avi-Cenna International School,"Lagos, Nigeria",6.4550575,3.3941795
Awsaj Academy,"Doha, Qatar",25.2856329,51.5264162
Awty International School,United States of America,39.7837304,-100.445882
Axcel International School,"Kuala Lumpur, Malaysia",3.1526589,101.7022205
Axis International School,"Tokyo, Japan",35.6768601,139.7638947
Ayeyarwaddy International School,Myanmar,17.1750495,95.9999652
Azerbaijan British College,"Baku, Azerbaijan",40.3755885,49.8328009
Azzan Bin Qais International School,"Muscat, Oman",23.6123628,58.5938134
B.D.Somani International School,India,22.3511148,78.6677428
BASIS Independent Fremont,"Fremont, United States of America",37.5482697,-121.988571
BASIS Independent Manhattan,"New York, United States of America",40.7127281,-74.0060152
BASIS Independent Silicon Valley,"San Francisco, United States of America",37.7792588,-122.4193286
BASIS International School Bangkok,"Bangkok, Thailand",13.7524938,100.4935089
BASIS International School Guangzhou,"Guangzhou, China",23.1301964,113.2592945
BASIS International School Shenzhen,"Shenzhen, China",22.5445741,114.0545429
BCIS Phuket,"Phuket, Thailand",7.9366015,98.3529292
BEPS - Brussels,"Brussels, Belgium",50.8465573,4.351697
BEPS International School,"Brussels, Belgium",50.8465573,4.351697
BJP Elite Academy,"Pattaya, Thailand",12.9366924,100.8865002
BKA International School,Switzerland,46.7985624,8.2319736
BME International Secondary Grammar School,"Budapest, Hungary",47.4978789,19.0402383
Bahrain Indian School,"Manama, Bahrain",26.2235041,50.5822436
Baku International Education Complex,"Baku, Azerbaijan",40.3755885,49.8328009
Baku Modern School,"Baku, Azerbaijan",40.3755885,49.8328009
Baku Oxford School,"Baku, Azerbaijan",40.3755885,49.8328009
Baku Talents Education Complex,"Baku, Azerbaijan",40.3755885,49.8328009
Baku-Oxford School,"Baku, Azerbaijan",40.3755885,49.8328009
Balboa Academy,"City, Panama",30.1698381,-85.755833
Baleares International College Sant AgustÃ­,"Palma, Spain",39.5812525,2.7092683
Bali Island School,Indonesia,-2.4833826,117.8902853
Baltimore International Academy,United States of America,39.7837304,-100.445882
Bamboo International School,"Phnom Penh, Cambodia",11.5730391,104.857807
Bambujaya Bilingual School,"Phnom Penh, Cambodia",11.5730391,104.857807
Banana Island International School,"Lagos, Nigeria",6.4550575,3.3941795
Bandung Alliance Intercultural School,Indonesia,-2.4833826,117.8902853
Bandung Independent School,Indonesia,-2.4833826,117.8902853
Bangkok Adventist International School,"Bangkok, Thailand",13.7524938,100.4935089
Bangkok Grace International School,"Bangkok, Thailand",13.7524938,100.4935089
Bangkok International Preparatory & Secondary School,"Bangkok, Thailand",13.7524938,100.4935089
Bangkok International Prepatory & Secondary School,Thailand,14.8971921,100.83273
Bangkok Patana School,Thailand,14.8971921,100.83273
Bangladesh School Muscat,"Muscat, Oman",23.6123628,58.5938134
Banjul American Internatonal School,"Fajara, Gambia",13.4689798,-16.6914043
Banksia Park International High School,"Banksia Park, Australia",-34.8105248,138.7305864
Barker College,"Buenos Aires, Argentina",-34.6095579,-58.3887904
Barlavento International Primary School,"Algarve, Portugal",37.2449218,-8.1959563
Baton Rouge International School,United States of America,39.7837304,-100.445882
Battery Park Montessori,"New York, United States of America",40.7127281,-74.0060152
Bavarian International School gAG,Germany,51.1638175,10.4478313
Bavarian International School gAG. - City Campus,Germany,51.1638175,10.4478313
Bay Islands International School,"Sandy Bay, Honduras",16.3322509,-86.5633155
Bay of Islands International Academy,New Zealand,-41.5000831,172.8344077
Baylor School,"Chattanooga, United States of America",35.0457219,-85.3094883
Bayview Glen,"Toronto, Canada",43.6534817,-79.3839347
Beacon Academy,"Jakarta, Indonesia",-6.1754049,106.827168
Beacon Academy Chicago,"Chicago, United States of America",41.8755616,-87.6244212
Beaconhouse Malaysia Sri Inai International,"Kuala Lumpur, Malaysia",3.1526589,101.7022205
Beaconhouse Private School,"Muscat, Oman",23.6123628,58.5938134
Beaconhouse Yamsaard International School,"Bangkok, Thailand",13.7524938,100.4935089
Beanstalk International Bilingual School Chengdu Campus,China,35.000074,104.999927
Beanstalk International Bilingual School Haidian Academy,"Beijing, China",40.190632,116.412144
Beanstalk International Bilingual School Kunming,China,35.000074,104.999927
Beanstalk International Bilingual School Upper East Side Campus,China,35.000074,104.999927
Bear Valley International School,United States of America,39.7837304,-100.445882
Beau Soleil Collège Alpin International,"Lausanne, Switzerland",46.5218269,6.6327025
Bedayia International School,"Cairo, Egypt",30.0443879,31.2357257
Bede's Grammar School,"Buenos Aires, Argentina",-34.6095579,-58.3887904
Beijing Academy,"Beijing, China",40.190632,116.412144
Beijing BISS International School,"Beijing, China",40.190632,116.412144
Beijing City International School,"Beijing, China",40.190632,116.412144
Beijing City International School (BCIS),China,35.000074,104.999927
Beijing New Talent Academy,"Beijing, China",40.190632,116.412144
Beijing Royal School,"Beijing, China",40.190632,116.412144
Beijing SMIC Private School English Track,"Beijing, China",40.190632,116.412144
Beijing World Youth Academy,"Beijing, China",40.190632,116.412144
Belair School,"Mandeville, Jamaica",18.0431254,-77.50741
Belgrano Day School,"Buenos Aires, Argentina",-34.6095579,-58.3887904
Belgravia High School Doha,"Doha, Qatar",25.2856329,51.5264162
Bellver International College,"Mallorca, Spain",39.613432,2.8829185
Belvedere British School Abu Dhabi,"Abu Dhabi, United Arab Emirates",24.4538352,54.3774014
Belvedere International School,"Al Ain, United Arab Emirates",24.2248697,55.7452211
Benedictine International School,"Manila, Philippines",14.5904492,120.9803621
Benford International School,"Abuja, Nigeria",9.0643305,7.4892974
Benjamin E. Mays International Magnet School,United States of America,39.7837304,-100.445882
Benjamin Franklin International School,"Barcelona, Spain",41.3825802,2.177073
Benowa State High School,"Benowa, Australia",-28.0041744,153.3834595
Bentley School,"Oakland, United States of America",37.8044557,-122.271356
Berkeley International School,"Bangkok, Thailand",13.7524938,100.4935089
Berlin Brandenburg International School,"Berlin, Germany",52.5173885,13.3951309
Berlin British School,"Berlin, Germany",52.5173885,13.3951309
Berlin Cosmopolitan School,"Berlin, Germany",52.5173885,13.3951309
Berlin International School,"Berlin, Germany",52.5173885,13.3951309
Berlin Metropolitan School,"Berlin, Germany",52.5173885,13.3951309
Beworldwise International Montessori School,"Malaga / Costa Del S, Spain",36.4901559,-4.96236
Bilingual Kids Academy,"Basel, Switzerland",47.5581077,7.5878261
Bilkent Erbil College,"Kurdistan, Iraq",36.4949363,44.3469625
Bilkent Erzurum Laboratory School,"Erzurum, Türkiye",39.90632,41.2727715
Bilkent Schools,"Ankara, Türkiye",39.9207759,32.8540497
Billabong High International School Thane,India,22.3511148,78.6677428
Bina Bangsa School,"Jakarta, Indonesia",-6.1754049,106.827168
Bingham Academy,"Addis Ababa, Ethiopia",9.0358287,38.7524127
Birkerød Gymnasium,"Copenhagen, Denmark",55.6867243,12.5700724
Birmingham Primary School,"Mount Evelyn, Australia",-37.7873186,145.3883037
Bishkek International School,Kyrgyzstan,41.5089324,74.724091
Bishop Mackenzie International School,Malawi,-13.2687204,33.9301963
Bishops Diocesan College,"Cape Town, South Africa",-33.9288301,18.4172197
Bjorn's International School,"Copenhagen, Denmark",55.6867243,12.5700724
Bladins International School of Malmö,Sweden,59.6749712,14.5208584
Bloom International School,"Milan, Italy",45.4641943,9.1896346
Bloombreed High School,"Port Harcourt, Nigeria",4.7676576,7.0188527
Bloomingdale International School,India,22.3511148,78.6677428
Bloomsbury International School Hatyai,"Hatyai,  Songkhla, Thailand",6.9340985,100.3879751
Blouberg International School,"Cape Town, South Africa",-33.9288301,18.4172197
Blue Valley School,"San Jose, Costa Rica",9.9327707,-84.0796144
Bluebird British International School,"Phnom Penh, Cambodia",11.5730391,104.857807
Blyth Academy,"Toronto, Canada",43.6534817,-79.3839347
Blyth Academy Burlington,"Toronto, Canada",43.6534817,-79.3839347
Blyth Academy Etobicoke,"Toronto, Canada",43.6534817,-79.3839347
Blyth Academy Lawrence Park,"Toronto, Canada",43.6534817,-79.3839347
Blyth Academy Mississauga,"Toronto, Canada",43.6534817,-79.3839347
